iter	Accuracy	Logloss
712	0.9660148148	0.09600599646
713	0.9659851852	0.09595318432
714	0.9659555556	0.09595123882
715	0.9660148148	0.09587915038
716	0.9660444444	0.09583110592
717	0.9661333333	0.09578856276
718	0.9661333333	0.09573180989
719	0.9661037037	0.09567992208
720	0.966162963	0.09563124653
721	0.9662814815	0.09555515676
722	0.9662814815	0.0955014455
723	0.9662814815	0.09543491142
724	0.9664	0.09536729344
725	0.9664296296	0.09530349906
726	0.9665185185	0.09522744296
727	0.9664888889	0.09514305665
728	0.9665185185	0.09508555131
729	0.9666666667	0.09501617777
730	0.9666962963	0.09491545262
731	0.9667259259	0.09481442084
732	0.9667555556	0.09477986861
733	0.9668148148	0.09473712506
734	0.9668148148	0.09469219399
735	0.9668444444	0.09462496642
736	0.9668444444	0.09456931617
737	0.9669037037	0.09448122933
738	0.9669333333	0.09441479354
739	0.9669037037	0.09433017424
740	0.9669037037	0.09426124505
741	0.9670814815	0.09422764098
742	0.9671407407	0.09419589193
743	0.9671407407	0.09417767183
744	0.9672296296	0.09411033085
745	0.9672592593	0.09403721841
746	0.9673777778	0.09395851996
747	0.9672296296	0.09390266006
748	0.9672592593	0.09386852283
749	0.9674074074	0.09380326395
750	0.9673185185	0.09369598902
751	0.9672888889	0.09363437732
752	0.9673777778	0.0935914068
753	0.9674666667	0.09353107399
754	0.9674962963	0.09340730644
755	0.967437037	0.09333158205
756	0.9676148148	0.09325432093
757	0.9675851852	0.09323064923
758	0.967762963	0.09314648974
759	0.9677037037	0.09311502643
760	0.9676740741	0.0930694434
761	0.9676740741	0.09302501692
762	0.9677037037	0.09296606818
763	0.967762963	0.09288541248
764	0.9677333333	0.09284284749
765	0.967762963	0.09279838718
766	0.9678222222	0.09277198774
767	0.9677925926	0.09273981539
768	0.9677925926	0.09269322328
769	0.9678222222	0.09261238407
770	0.9678814815	0.09256409927
771	0.9679703704	0.09251533839
772	0.9679407407	0.09246818171
773	0.968	0.09239180713
774	0.9680296296	0.09235250556
775	0.9681185185	0.09230216827
